name,name_clean,store,price,price_per_100,query,brand
Kingsmill Soft White Bread Thick Sliced Loaf 800g,Kingsmill Soft White Bread Thick Sliced Loaf 800g,asda,1.23,0.154,white sliced bread,Kingsmill
ASDA Sweet & Delicate Conference Pears,Sweet & Delicate Conference Pears,asda,1.57,0.257,pears,ASDA
ASDA Sweet & Crisp Dessert Pears 610g,Sweet & Crisp Dessert Pears 610g,asda,1.57,0.257,pears,ASDA
ASDA Garden Gang Incredible Pears,Garden Gang Incredible Pears,asda,1.17,0.2339999999999999,pears,ASDA
ASDA Sweet & Delicate Conference Pears 4 Pack,Sweet & Delicate Conference Pears 4 Pack,asda,1.97,,pears,ASDA
Exceptional by ASDA Hand Picked Seasonally Selected Pears,Hand Picked Seasonally Selected Pears,asda,2.34,,pears,Exceptional
President French Brie Cheese 200g,President French Brie Cheese 200g,asda,2.4,1.2,brie,President
ASDA Somerset Brie 160g,Somerset Brie 160g,asda,2.2,1.375,brie,ASDA
JUST ESSENTIALS by ASDA French Brie 200g,French Brie 200g,asda,1.65,0.825,brie,ASDA
ASDA Fresh Soured Cream 300ml,Fresh Soured Cream 300ml,asda,0.85,0.283,sour cream,ASDA
ASDA Sour Cream 280g,Sour Cream 280g,asda,1.65,0.589,sour cream,ASDA
ASDA Reduced Fat Fresh Soured Cream 300ml,Reduced Fat Fresh Soured Cream 300ml,asda,0.85,0.283,sour cream,ASDA
ASDA Sour Cream & Chive 290g,Sour Cream & Chive 290g,asda,1.28,0.441,sour cream,ASDA
ASDA Sour Cream & Onion Flavour Party Mix 150g,Sour Cream & Onion Flavour Party Mix 150g,asda,1.25,0.833,sour cream,ASDA
ASDA Tart & Sweet Plums 400g,Tart & Sweet Plums 400g,asda,1.47,0.368,plums,ASDA
JUST ESSENTIALS by ASDA Plums,Plums,asda,0.9,0.225,plums,ASDA
ASDA Tart & Sweet Plums 400g,Tart & Sweet Plums 400g,asda,2.48,0.62,plums,ASDA
ASDA 10 Party Breaded Halloumi Fries 170g,10 Party Breaded Halloumi Fries 170g,asda,2.48,1.459,halloumi,ASDA
Exceptional by ASDA Traditional Halloumi 225g,Traditional Halloumi 225g,asda,3.55,1.5779999999999998,halloumi,Exceptional
The BAKERY at ASDA The Bakery Wholemeal Medium Sliced 800g,The Bakery Wholemeal Medium Sliced 800g,asda,0.75,,wholemeal bread,The
The BAKERY at ASDA The Bakery Wholemeal Toastie Thick Sliced 800g,The Bakery Wholemeal Toastie Thick Sliced 800g,asda,0.75,,wholemeal bread,The
Warburtons The True Taste of Wholemeal 800g,Warburtons The True Taste of Wholemeal 800g,asda,1.35,0.1689999999999999,wholemeal bread,Warburtons
Kingsmill Tasty Wholemeal Bread Medium Sliced Loaf 800g,Kingsmill Tasty Wholemeal Bread Medium Sliced Loaf 800g,asda,1.23,0.154,wholemeal bread,Kingsmill
Exceptional by ASDA Wholemeal & Rye Farmhouse Loaf 800g,Wholemeal & Rye Farmhouse Loaf 800g,asda,1.47,0.184,wholemeal bread,Exceptional
ASDA Blue Stilton 220g,Blue Stilton 220g,asda,2.76,1.255,stilton,ASDA
Exceptional by ASDA Blue Stilton 200g,Blue Stilton 200g,asda,3.15,1.575,stilton,Exceptional
Jason's No 06 Majestic Malted Sourdough 450g,Jason's No 06 Majestic Malted Sourdough 450g,asda,2.13,0.473,sourdough bread,Jason's
Jason's No1 The Great White Sourdough 450g,Jason's No1 The Great White Sourdough 450g,asda,2.13,0.473,sourdough bread,Jason's
ASDA Easter White Potatoes 2kg,Easter White Potatoes 2kg,asda,0.3,,potatoes,ASDA
ASDA Organic White Potatoes 1.5kg,Organic White Potatoes 1.5kg,asda,1.77,0.118,potatoes,ASDA
Exceptional by ASDA British Potatoes 2kg,British Potatoes 2kg,asda,1.97,,potatoes,Exceptional
Exceptional by ASDA 4 British Baking Potatoes,4 British Baking Potatoes,asda,1.67,,potatoes,Exceptional
Albert Bartlett Sweet Potatoes,Albert Bartlett Sweet Potatoes,asda,1.78,,potatoes,Albert
ASDA Tender Chicken Breast Fillets 1kg,Tender Chicken Breast Fillets 1kg,asda,6.94,0.646,chicken breast,ASDA
ASDA Tender Diced Chicken Breast 400g,Tender Diced Chicken Breast 400g,asda,3.65,0.913,chicken breast,ASDA
ASDA Tender Chicken Breast Fillets 650g,Tender Chicken Breast Fillets 650g,asda,4.77,0.734,chicken breast,ASDA
ASDA Tender Chicken Breast Fillets 1.6kg,Tender Chicken Breast Fillets 1.6kg,asda,10.76,0.673,chicken breast,ASDA
ASDA Tender Chicken Breast Portions 320g,Tender Chicken Breast Portions 320g,asda,2.4,0.75,chicken breast,ASDA
ASDA 10 Dutch Gouda Sliced 250g,10 Dutch Gouda Sliced 250g,asda,4.5,0.98,gouda,ASDA
ASDA Gouda Nutty & Mellow 200g,Gouda Nutty & Mellow 200g,asda,1.96,0.98,gouda,ASDA
Mlekovita Gouda Cheese Slices 150g,Mlekovita Gouda Cheese Slices 150g,asda,1.8,1.2,gouda,Mlekovita
ASDA Creamy & Flavoursome Sweet Potatoes 1kg,Creamy & Flavoursome Sweet Potatoes 1kg,asda,1.24,0.124,sweet potatoes,ASDA
ASDA Seasoned Sweet Potato Fries 500g,Seasoned Sweet Potato Fries 500g,asda,2.18,0.436,sweet potatoes,ASDA
Albert Bartlett Sweet Potatoes,Albert Bartlett Sweet Potatoes,asda,1.78,,sweet potatoes,Albert
Albert Bartlett Sweet Potato Mash 300g,Albert Bartlett Sweet Potato Mash 300g,asda,2.5,0.4469999999999999,sweet potatoes,Albert
ASDA Smooth & Rich Red Potatoes 2kg,Smooth & Rich Red Potatoes 2kg,asda,1.55,,sweet potatoes,ASDA
Warburtons Warburtons Seeded Batch Bread 800G,Warburtons Warburtons Seeded Batch Bread 800G,asda,1.9,0.238,seeded bread,Warburtons
The BAKERY at ASDA The Bakery Seeded Thick Sliced 800g,The Bakery Seeded Thick Sliced 800g,asda,1.24,0.155,seeded bread,The
Warburtons Original Seeded Batch 400g,Warburtons Original Seeded Batch 400g,asda,1.18,0.295,seeded bread,Warburtons
ASDA Succulent Boneless Chicken Thigh Fillets 1kg,Succulent Boneless Chicken Thigh Fillets 1kg,asda,6.84,0.617,chicken thighs,ASDA
ASDA Succulent Chicken Thighs 2kg,Succulent Chicken Thighs 2kg,asda,5.43,0.272,chicken thighs,ASDA
ASDA Succulent Boneless Chicken Thigh Fillets 650g,Succulent Boneless Chicken Thigh Fillets 650g,asda,5.67,0.8720000000000001,chicken thighs,ASDA
ASDA Succulent Chicken Thighs 1.1kg,Succulent Chicken Thighs 1.1kg,asda,3.53,0.321,chicken thighs,ASDA
Shazans Chicken Thighs 1kg,Shazans Chicken Thighs 1kg,asda,4.33,0.433,chicken thighs,Shazans
Exceptional by ASDA British Baby Potatoes 1kg,British Baby Potatoes 1kg,asda,1.52,0.152,baby potatoes,Exceptional
ASDA Firm & Flavoursome Baby Potatoes 1kg,Firm & Flavoursome Baby Potatoes 1kg,asda,1.07,0.107,baby potatoes,ASDA
ASDA Organic Organic Baby Potatoes 750g,Organic Organic Baby Potatoes 750g,asda,1.32,0.176,baby potatoes,ASDA
Exceptional by ASDA British Baby Potatoes 500g,British Baby Potatoes 500g,asda,0.9,0.18,baby potatoes,Exceptional
Exceptional by ASDA Creamy Baby Potato Salad 275g,Creamy Baby Potato Salad 275g,asda,2.27,0.782,baby potatoes,Exceptional
ASDA Edam 220g,Edam 220g,asda,2.3,1.045,edam,ASDA
ASDA 10 Dutch Edam Slices 250g,10 Dutch Edam Slices 250g,asda,4.5,0.98,edam,ASDA
JUST ESSENTIALS by ASDA Grated Cheddar 500g,Grated Cheddar 500g,asda,2.99,0.5980000000000001,grated cheddar,ASDA
ASDA Grated Mature British Cheddar 250g,Grated Mature British Cheddar 250g,asda,4.5,0.98,grated cheddar,ASDA
ASDA Grated Mild British Cheddar 250g,Grated Mild British Cheddar 250g,asda,4.5,0.98,grated cheddar,ASDA
ASDA British Extra Mature Grated Cheddar 250g,British Extra Mature Grated Cheddar 250g,asda,4.5,0.98,grated cheddar,ASDA
Cathedral City Cathedral City Grated Mature Cheddar Cheese 180g,Cathedral City Cathedral City Grated Mature Cheddar Cheese 180g,asda,2.36,1.111,grated cheddar,Cathedral
ASDA Side for Two 2 Flame-Baked Plain Naan 320g,Side for Two 2 Flame-Baked Plain Naan 320g,asda,2.0,0.625,naan bread,ASDA
Patak's Plain Naan Breads x 2,Patak's Plain Naan Breads x 2,asda,1.54,0.7,naan bread,Patak's
ASDA Succulent Extra Tasty Large Chicken,Succulent Extra Tasty Large Chicken,asda,6.5,0.354,whole chicken,ASDA
ASDA Succulent Large Chicken 1.7kg,Succulent Large Chicken 1.7kg,asda,5.14,0.302,whole chicken,ASDA
ASDA Succulent Medium Chicken,Succulent Medium Chicken,asda,4.53,0.312,whole chicken,ASDA
ASDA Succulent Extra Tasty Small Chicken,Succulent Extra Tasty Small Chicken,asda,5.07,0.4059999999999999,whole chicken,ASDA
ASDA Succulent Extra Large Chicken (Typically 2.1KG),Succulent Extra Large Chicken (Typically 2.1KG),asda,6.43,0.282,whole chicken,ASDA
Mission Original Mini Tortilla Wraps 6 Pack,Mission Original Mini Tortilla Wraps 6 Pack,asda,1.03,,wraps tortilla,Mission
Mission Mission Chargrilled Tortilla Wraps 6 Pack,Mission Mission Chargrilled Tortilla Wraps 6 Pack,asda,1.4,,wraps tortilla,Mission
Mission Deli Mission Wheat & White Tortilla Wraps 6 Pack,Mission Deli Mission Wheat & White Tortilla Wraps 6 Pack,asda,1.4,,wraps tortilla,Mission
Old El Paso Regular Super Soft Flour Tortillas Wraps 8Pk 326G,Old El Paso Regular Super Soft Flour Tortillas Wraps 8Pk 326G,asda,3.0,0.491,wraps tortilla,Old
Mission Original XL Tortilla Wraps 6 Pack,Mission Original XL Tortilla Wraps 6 Pack,asda,1.66,,wraps tortilla,Mission
JUST ESSENTIALS by ASDA 10 Mild Cheddar Slices 200g,10 Mild Cheddar Slices 200g,asda,1.39,0.6950000000000001,cheese slices,ASDA
ASDA Succulent Chicken Drumsticks 1.1kg,Succulent Chicken Drumsticks 1.1kg,asda,2.42,0.22,chicken drumsticks,ASDA
ASDA Succulent Chicken Drumsticks 2kg,Succulent Chicken Drumsticks 2kg,asda,4.68,0.222,chicken drumsticks,ASDA
ASDA Roast Chicken Drumsticks 450g,Roast Chicken Drumsticks 450g,asda,3.3,0.733,chicken drumsticks,ASDA
ASDA Summer Grill by  Chinese Inspired Chicken Thighs & Drumsticks 700g,Summer Grill by  Chinese Inspired Chicken Thighs & Drumsticks 700g,asda,4.74,0.6769999999999999,chicken drumsticks,ASDA
ASDA Smoky BBQ Chicken Wings 525g,Smoky BBQ Chicken Wings 525g,asda,4.68,0.891,chicken drumsticks,ASDA
JUST ESSENTIALS by ASDA Chicken Wings 1.1kg,Chicken Wings 1.1kg,asda,2.41,0.219,chicken wings,ASDA
ASDA BBQ Chicken Wings 1kg,BBQ Chicken Wings 1kg,asda,3.92,0.392,chicken wings,ASDA
ASDA Hot & Spicy Chicken Wings 1kg,Hot & Spicy Chicken Wings 1kg,asda,3.92,0.392,chicken wings,ASDA
ASDA Smoky BBQ Chicken Wings 525g,Smoky BBQ Chicken Wings 525g,asda,4.68,0.891,chicken wings,ASDA
ASDA Buffalo Chicken Wings with Ranch Dip 525g,Buffalo Chicken Wings with Ranch Dip 525g,asda,4.68,0.883,chicken wings,ASDA
The BAKERY at ASDA The Bakery 9 Crumpets,The Bakery 9 Crumpets,asda,0.68,,crumpets,The
The BAKERY at ASDA 6 Crumpets,6 Crumpets,asda,0.48,,crumpets,The
Warburtons 9 Original Crumpets,Warburtons 9 Original Crumpets,asda,1.15,,crumpets,Warburtons
Warburtons 6 Original Crumpets,Warburtons 6 Original Crumpets,asda,0.9,,crumpets,Warburtons
HECK! HECK! Steak & Butter Gluten Free Beef Meatballs 12 pack 300g,HECK! HECK! Steak & Butter Gluten Free Beef Meatballs 12 pack 300g,asda,4.32,1.44,beef mince,HECK!
ASDA Beef & Pork Mince 750g,Beef & Pork Mince 750g,asda,4.88,0.651,beef mince,ASDA
ASDA Full-Flavoured 24 Beef Meatballs 672g,Full-Flavoured 24 Beef Meatballs 672g,asda,6.17,0.808,beef mince,ASDA
ASDA 15% Fat Beef Mince 500g,15% Fat Beef Mince 500g,asda,4.74,0.948,beef mince,ASDA
Exceptional by ASDA British Aberdeen Angus Lean Beef Mince 5% Fat,British Aberdeen Angus Lean Beef Mince 5% Fat,asda,6.27,1.254,lean beef mince,Exceptional
ASDA Sirloin Beef Steak 227g,Sirloin Beef Steak 227g,asda,5.33,2.348,sirloin steak,ASDA
Exceptional by ASDA Aberdeen Angus 8oz Sirloin Steak 227g,Aberdeen Angus 8oz Sirloin Steak 227g,asda,7.78,3.4270000000000005,sirloin steak,Exceptional
ASDA Sirloin Thin Cut 2 Beef Steaks,Sirloin Thin Cut 2 Beef Steaks,asda,9.28,2.994,sirloin steak,ASDA
ASDA Ribeye Beef Steak,Ribeye Beef Steak,asda,6.84,3.013,sirloin steak,ASDA
Exceptional by ASDA Aberdeen Angus 8oz Sirloin Steak with Wild Garlic & Parsley Butter,Aberdeen Angus 8oz Sirloin Steak with Wild Garlic & Parsley Butter,asda,7.41,3.0,sirloin steak,Exceptional
ASDA Ribeye Beef Steak,Ribeye Beef Steak,asda,6.84,3.013,ribeye steak,ASDA
Exceptional by ASDA Aberdeen Angus 8oz Ribeye Steak 227g,Aberdeen Angus 8oz Ribeye Steak 227g,asda,8.14,3.586,ribeye steak,Exceptional
Exceptional by ASDA Aberdeen Angus 8oz Sirloin Steak 227g,Aberdeen Angus 8oz Sirloin Steak 227g,asda,7.78,3.4270000000000005,ribeye steak,Exceptional
ASDA Sirloin Beef Steak 227g,Sirloin Beef Steak 227g,asda,5.33,2.348,ribeye steak,ASDA
Exceptional by ASDA Aberdeen Angus 8oz Sirloin Steak with Wild Garlic & Parsley Butter,Aberdeen Angus 8oz Sirloin Steak with Wild Garlic & Parsley Butter,asda,7.41,3.0,ribeye steak,Exceptional
ASDA Tender Lean Diced Beef 400g,Tender Lean Diced Beef 400g,asda,5.22,1.3050000000000002,beef stewing steak,ASDA
ASDA Tender Lean Diced Beef 700g,Tender Lean Diced Beef 700g,asda,8.86,1.266,beef stewing steak,ASDA
ASDA Tender Beef Braising Steak,Tender Beef Braising Steak,asda,5.12,1.28,beef stewing steak,ASDA
ASDA Tender Lean Diced Beef 250g,Tender Lean Diced Beef 250g,asda,3.97,1.588,beef stewing steak,ASDA
Exceptional by ASDA British Aberdeen Angus Diced Beef,British Aberdeen Angus Diced Beef,asda,6.06,1.731,beef stewing steak,Exceptional
ASDA Flavourful Lamb Mince 20% Fat 500g,Flavourful Lamb Mince 20% Fat 500g,asda,6.97,1.394,lamb mince,ASDA
ASDA Lamb Mince 400g,Lamb Mince 400g,asda,4.96,1.24,lamb mince,ASDA
ASDA Flavourful Lamb Mince 10% Fat 500g,Flavourful Lamb Mince 10% Fat 500g,asda,8.14,1.496,lamb mince,ASDA
ASDA 20 Delicious Garlic & Herb Lamb Mini Meatballs 340g,20 Delicious Garlic & Herb Lamb Mini Meatballs 340g,asda,3.97,1.168,lamb mince,ASDA
ASDA 5% Fat Beef Mince 400g,5% Fat Beef Mince 400g,asda,4.68,1.17,lamb mince,ASDA
ASDA 4 Tender Lamb Chops 300g,4 Tender Lamb Chops 300g,asda,5.97,1.99,lamb chops,ASDA
ASDA Tender Thin Cut Lamb Rump Steaks 200g,Tender Thin Cut Lamb Rump Steaks 200g,asda,3.74,1.66,lamb chops,ASDA
ASDA 2 Tender Lamb Leg Chops 320g,2 Tender Lamb Leg Chops 320g,asda,5.62,1.7559999999999998,lamb chops,ASDA
ASDA 2 Tender Lamb Rump Steaks 300g,2 Tender Lamb Rump Steaks 300g,asda,5.62,1.873,lamb chops,ASDA
ASDA Slow Cooked Lamb Shank with Mint Gravy 390g,Slow Cooked Lamb Shank with Mint Gravy 390g,asda,5.47,1.403,lamb chops,ASDA
ASDA Succulent Lean Pork Mince 5% Fat 500g,Succulent Lean Pork Mince 5% Fat 500g,asda,2.57,0.514,pork mince,ASDA
ASDA Flavourful 10% Fat Pork Mince 750g,Flavourful 10% Fat Pork Mince 750g,asda,3.97,0.529,pork mince,ASDA
JUST ESSENTIALS by ASDA Pork Mince 15% Fat 500g,Pork Mince 15% Fat 500g,asda,2.47,0.494,pork mince,ASDA
ASDA Beef & Pork Mince 750g,Beef & Pork Mince 750g,asda,4.88,0.651,pork mince,ASDA
ASDA Lamb Mince 400g,Lamb Mince 400g,asda,4.96,1.24,pork mince,ASDA
ASDA 3 Crunchy & Fragrant Brown Onions,3 Crunchy & Fragrant Brown Onions,asda,0.95,,brown onions,ASDA
ASDA Brown Onions 1kg,Brown Onions 1kg,asda,0.99,,brown onions,ASDA
ASDA Organic Brown Onions,Organic Brown Onions,asda,1.0,0.2,brown onions,ASDA
McCain Air Fryer Hash Brown Bites 600g,McCain Air Fryer Hash Brown Bites 600g,asda,2.24,0.373,brown onions,McCain
ASDA 3 Sweet & Crunchy Red Onions,3 Sweet & Crunchy Red Onions,asda,0.95,,red onions,ASDA
ASDA Sweet & Crunchy Sliced Red Onion 150g,Sweet & Crunchy Sliced Red Onion 150g,asda,0.6,0.4,red onions,ASDA
ASDA Sweet & Crunchy Red Onions 1kg,Sweet & Crunchy Red Onions 1kg,asda,0.98,,red onions,ASDA
ASDA Organic Organic Red Onions,Organic Organic Red Onions,asda,1.24,0.248,red onions,ASDA
ASDA Sliced Red Onion 650g,Sliced Red Onion 650g,asda,1.65,0.254,red onions,ASDA
ASDA Fragrant & Crunchy Spring Onions,Fragrant & Crunchy Spring Onions,asda,0.69,,spring onions,ASDA
ASDA Fragrant & Crunchy Spring Onions 125g,Fragrant & Crunchy Spring Onions 125g,asda,0.88,0.704,spring onions,ASDA
ASDA Fragrant & Punchy Jumbo Spring Onions,Fragrant & Punchy Jumbo Spring Onions,asda,0.97,,spring onions,ASDA
ASDA Organic Spring Onions,Organic Spring Onions,asda,1.05,,spring onions,ASDA
ASDA Garlic 5 Bulbs,Garlic 5 Bulbs,asda,2.1,,garlic,ASDA
Exceptional by ASDA Oak Smoked Garlic,Oak Smoked Garlic,asda,0.82,2.343,garlic,Exceptional
ASDA 4 Fragrant & Bold Garlic,4 Fragrant & Bold Garlic,asda,0.87,,garlic,ASDA
ASDA Garlic,Garlic,asda,0.47,,garlic,ASDA
ASDA Cook Garlic Granules 60g,Cook Garlic Granules 60g,asda,1.1,1.8329999999999995,garlic,ASDA
Twinings 20 Superblends Detox Lemon & Ginger with Burdock Root & Fennel 40g,Twinings 20 Superblends Detox Lemon & Ginger with Burdock Root & Fennel 40g,asda,3.49,8.725,ginger root,Twinings
ASDA Crunchy & Sweet Carrots 1kg,Crunchy & Sweet Carrots 1kg,asda,0.69,,carrots,ASDA
ASDA Crunchy & Sweet Carrots 500g,Crunchy & Sweet Carrots 500g,asda,0.55,0.11,carrots,ASDA
ASDA Sweet & Crunchy Sliced Carrots 300g,Sweet & Crunchy Sliced Carrots 300g,asda,0.6,0.2,carrots,ASDA
ASDA Sliced Carrots in Water 300g,Sliced Carrots in Water 300g,asda,0.5,0.313,carrots,ASDA
ASDA Sweet & Earthy Parsnips 500g,Sweet & Earthy Parsnips 500g,asda,0.74,0.148,parsnips,ASDA
JUST ESSENTIALS by ASDA Just Essentials Parsnips 500g,Just Essentials Parsnips 500g,asda,0.55,0.11,parsnips,ASDA
Ella's Kitchen Apples Carrots + Parsnips 6+ Months 120g,Ella's Kitchen Apples Carrots + Parsnips 6+ Months 120g,asda,1.26,1.05,parsnips,Ella's
Aunt Bessie's Honey Glazed Parsnips 500g,Aunt Bessie's Honey Glazed Parsnips 500g,asda,2.98,0.5,parsnips,Aunt
ASDA Tender & Crunchy Broccoli,Tender & Crunchy Broccoli,asda,0.79,0.219,broccoli,ASDA
ASDA Sweet & Crunchy Tenderstem Broccoli 160g,Sweet & Crunchy Tenderstem Broccoli 160g,asda,1.28,0.8,broccoli,ASDA
ASDA Earthy & Crisp Cauliflower & Broccoli Florets 400g,Earthy & Crisp Cauliflower & Broccoli Florets 400g,asda,1.37,0.343,broccoli,ASDA
ASDA Broccoli Florets 1kg,Broccoli Florets 1kg,asda,1.44,0.144,broccoli,ASDA
"ASDA Crisp & Colourful Carrots, Cauliflower & Broccoli 240g","Crisp & Colourful Carrots, Cauliflower & Broccoli 240g",asda,1.0,0.417,broccoli,ASDA
ASDA Light & Nutty Cauliflower,Light & Nutty Cauliflower,asda,1.19,,cauliflower,ASDA
ASDA Large Cauliflower,Large Cauliflower,asda,2.0,,cauliflower,ASDA
ASDA Cauliflower Florets 1kg,Cauliflower Florets 1kg,asda,1.54,0.154,cauliflower,ASDA
ASDA Light & Nutty Cauliflower Florets 250g,Light & Nutty Cauliflower Florets 250g,asda,1.0,0.4,cauliflower,ASDA
ASDA Earthy & Crisp Cauliflower & Broccoli Florets 400g,Earthy & Crisp Cauliflower & Broccoli Florets 400g,asda,1.37,0.343,cauliflower,ASDA
ASDA Whole Cucumber,Whole Cucumber,asda,0.99,,cucumber,ASDA
ASDA Cool & Crunchy Cucumber Portion,Cool & Crunchy Cucumber Portion,asda,0.68,,cucumber,ASDA
ASDA Organic Organic Cucumber,Organic Organic Cucumber,asda,1.14,,cucumber,ASDA
ASDA Butternut Squash (Typically 1.2KG),Butternut Squash (Typically 1.2KG),asda,1.42,0.118,butternut squash,ASDA
COOK by ASDA Butternut Squash Chunks 700g,COOK by ASDA Butternut Squash Chunks 700g,asda,2.1,0.3,butternut squash,COOK
Exceptional by ASDA Butternut Squash & Sage Girasoli 250g,Butternut Squash & Sage Girasoli 250g,asda,3.5,1.4,butternut squash,Exceptional
Heinz Curried Butternut Squash Soup 400g,Heinz Curried Butternut Squash Soup 400g,asda,5.0,0.41,butternut squash,Heinz
Yorkshire Provender Chicken & Lentil with Butternut Squash 560g,Yorkshire Provender Chicken & Lentil with Butternut Squash 560g,asda,3.44,0.614,butternut squash,Yorkshire
ASDA Fragrant & Juicy Sweet Vine Ripened Tomatoes 250g,Fragrant & Juicy Sweet Vine Ripened Tomatoes 250g,asda,0.98,0.392,vine tomatoes,ASDA
ASDA Crunchy & Fragrant Vine Ripened Tomatoes,Crunchy & Fragrant Vine Ripened Tomatoes,asda,1.37,,vine tomatoes,ASDA
Exceptional by ASDA Vine Ripened Tomatoes,Vine Ripened Tomatoes,asda,2.06,,vine tomatoes,Exceptional
Exceptional by ASDA Petite Plum Vine Tomatoes 220g,Petite Plum Vine Tomatoes 220g,asda,2.07,0.941,vine tomatoes,Exceptional
ASDA Crunchy & Juicy Cherry Tomatoes 300g,Crunchy & Juicy Cherry Tomatoes 300g,asda,0.99,0.3299999999999999,vine tomatoes,ASDA
ASDA Sweet & Juicy Cooked Beetroot 300g,Sweet & Juicy Cooked Beetroot 300g,asda,0.78,0.26,beetroot,ASDA
ASDA Sliced Beetroot in Vinegar 440g,Sliced Beetroot in Vinegar 440g,asda,1.35,0.472,beetroot,ASDA
ASDA Sliced Beetroot in Vinegar 710g,Sliced Beetroot in Vinegar 710g,asda,1.52,0.329,beetroot,ASDA
Baxters Crinkled Beetroot 340g,Baxters Crinkled Beetroot 340g,asda,1.77,0.77,beetroot,Baxters
ASDA Extra Special Extra Special Apple Balsamic Vinegar Infused Beetroot 175g,Extra Special Apple Balsamic Vinegar Infused Beetroot 175g,asda,1.08,0.617,beetroot,ASDA
Exceptional by ASDA Exceptional by  Basil Pesto 130g,Exceptional by  Basil Pesto 130g,asda,2.75,2.115,fresh basil,Exceptional
ASDA Sweet Tomato & Basil Sauce 350g,Sweet Tomato & Basil Sauce 350g,asda,1.9,0.5429999999999999,fresh basil,ASDA
"Exceptional by ASDA Burrata, Roasted Cherry Tomato & Basil Ravioli 250g","Burrata, Roasted Cherry Tomato & Basil Ravioli 250g",asda,3.5,1.4,fresh basil,Exceptional
Exceptional by ASDA Woodfired Margherita with Basil Pesto Pizza 475g,Woodfired Margherita with Basil Pesto Pizza 475g,asda,4.75,1.0,fresh basil,Exceptional
Exceptional by ASDA Woodfired Margherita with Basil Pesto Pizza 235g,Woodfired Margherita with Basil Pesto Pizza 235g,asda,3.25,1.383,fresh basil,Exceptional
ASDA Crunchy & Juicy Cherry Tomatoes 300g,Crunchy & Juicy Cherry Tomatoes 300g,asda,0.99,0.3299999999999999,cherry tomatoes,ASDA
JUST ESSENTIALS by ASDA Cherry Tomatoes 250g,Cherry Tomatoes 250g,asda,0.62,0.248,cherry tomatoes,ASDA
ASDA Fragrant & Juicy Sweet Vine Ripened Tomatoes 250g,Fragrant & Juicy Sweet Vine Ripened Tomatoes 250g,asda,0.98,0.392,cherry tomatoes,ASDA
Exceptional by ASDA Petite Plum Vine Tomatoes 220g,Petite Plum Vine Tomatoes 220g,asda,2.07,0.941,cherry tomatoes,Exceptional
Exceptional by ASDA Pomodorini Cherry Tomatoes 400g,Pomodorini Cherry Tomatoes 400g,asda,0.94,0.235,cherry tomatoes,Exceptional
ASDA Carrot & Coriander Soup 600g,Carrot & Coriander Soup 600g,asda,1.84,0.307,fresh coriander,ASDA
Cravendale Arla  Filtered Fresh Semi Skimmed Milk 2L Fresher for Longer,Cravendale Arla  Filtered Fresh Semi Skimmed Milk 2L Fresher for Longer,asda,2.5,0.125,fresh coriander,Cravendale
ASDA Mild & Tender Baby Spinach 180g,Mild & Tender Baby Spinach 180g,asda,1.08,0.6,baby spinach,ASDA
"ASDA Mild Beetroot, Baby Spinach & Baby Kale Salad 120g","Mild Beetroot, Baby Spinach & Baby Kale Salad 120g",asda,1.08,0.9,baby spinach,ASDA
"LITTLE ANGELS by ASDA by  Organic Sweet Potato, Red Lentil & Spinach Dhal 7m+ 130g","LITTLE ANGELS by ASDA by  Organic Sweet Potato, Red Lentil & Spinach Dhal 7m+ 130g",asda,0.72,0.554,baby spinach,LITTLE
ASDA Delicate & Peppery Baby Leaf & Rocket Salad 75g,Delicate & Peppery Baby Leaf & Rocket Salad 75g,asda,1.08,1.44,rocket salad,ASDA
ASDA Strong & Peppery Wild Rocket 60g,Strong & Peppery Wild Rocket 60g,asda,1.0,1.6670000000000005,rocket salad,ASDA
"ASDA Strong & Peppery Watercress, Spinach & Rocket 80g","Strong & Peppery Watercress, Spinach & Rocket 80g",asda,1.08,1.35,rocket salad,ASDA
Sensodyne Pronamel Pronamel Active Enamel Shield Fresh Mint Toothpaste 75ml,Sensodyne Pronamel Pronamel Active Enamel Shield Fresh Mint Toothpaste 75ml,asda,5.5,7.333,fresh mint,Sensodyne
"Corsodyl Medicated Antibacterial Mouthwash Fresh Mint, 300ml","Corsodyl Medicated Antibacterial Mouthwash Fresh Mint, 300ml",asda,5.23,1.743,fresh mint,Corsodyl
Tetley Herbal Fresh Mint Tea Bags x20,Tetley Herbal Fresh Mint Tea Bags x20,asda,1.56,4.875,fresh mint,Tetley
JUST ESSENTIALS by ASDA Just Essentials by  Fresh Mint Toothpaste 100ml,Just Essentials by  Fresh Mint Toothpaste 100ml,asda,0.47,0.47,fresh mint,ASDA
Colgate Total Active Prevention Fresh Mint Toothpaste 75ml,Colgate Total Active Prevention Fresh Mint Toothpaste 75ml,asda,2.5,3.3329999999999997,fresh mint,Colgate
ASDA Zesty 2 Lemon & Parsley Kiln Roasted Salmon Fillets 180g,Zesty 2 Lemon & Parsley Kiln Roasted Salmon Fillets 180g,asda,5.65,3.139,fresh parsley,ASDA
ASDA Tasty Garlic & Parsley Marinated King Prawns 150g,Tasty Garlic & Parsley Marinated King Prawns 150g,asda,3.75,2.5,fresh parsley,ASDA
ASDA Iceberg Lettuce,Iceberg Lettuce,asda,0.89,,iceberg lettuce,ASDA
