name,name_clean,store,price,price_per_100,query,brand
Ginger Nuts,Ginger Nuts,aldi,0.59,0.2,ginger root,BELMONT
Ginger Parkin,Ginger Parkin,aldi,1.19,,ginger root,PETERS CRAFT BAKERY
Ginger Purée,Ginger Purée,aldi,0.85,1.133,ginger root,"READY, SET…COOK!"
Stem Ginger Cookies,Stem Ginger Cookies,aldi,1.99,0.995,ginger root,SPECIALLY SELECTED
Croissants,Croissants,aldi,1.49,,croissants,BON APPETIT!
All Butter Croissants,All Butter Croissants,aldi,2.09,,croissants,SPECIALLY SELECTED
Bake from Frozen All Butter Croissants 8 Pack,Bake from Frozen All Butter Croissants 8 Pack,aldi,2.79,0.63,croissants,BON APPETIT!
Butter Mintoes,Butter Mintoes,aldi,0.89,0.396,unsalted butter,DOMINION
Butter Chicken,Butter Chicken,aldi,3.99,0.867,unsalted butter,SPECIALLY SELECTED DINE IN
All Butter Croissants,All Butter Croissants,aldi,2.09,,unsalted butter,SPECIALLY SELECTED
Fat Free Natural Yogurt,Fat Free Natural Yogurt,aldi,0.55,0.11,natural yoghurt,EVERYDAY ESSENTIALS
Natural Kefir Yogurt,Natural Kefir Yogurt,aldi,1.09,0.31,natural yoghurt,GRAHAM'S THE FAMILY DAIRY
Natural Kefir Drink,Natural Kefir Drink,aldi,2.09,0.279,natural yoghurt,BIO-TIFUL DAIRY LTD
Sliced Brioche Burger Buns,Sliced Brioche Burger Buns,aldi,1.09,,burger buns,SPECIALLY SELECTED
Seeded Brioche Burger Bun,Seeded Brioche Burger Bun,aldi,1.09,,burger buns,SPECIALLY SELECTED
Sliced Plain Burger Buns,Sliced Plain Burger Buns,aldi,1.29,,burger buns,VILLAGE BAKERY
Sliced Seeded Burger Buns 6 Pack,Sliced Seeded Burger Buns 6 Pack,aldi,1.29,,burger buns,VILLAGE BAKERY
Belgian Buns,Belgian Buns,aldi,1.49,,burger buns,VILLAGE BAKERY
Carrots,Carrots,aldi,0.69,0.0689999999999999,carrots,NATURE'S PICK
British Carrots,British Carrots,aldi,0.44,0.088,carrots,NATURE'S PICK
Organic Carrots,Organic Carrots,aldi,1.09,0.156,carrots,ORGANIC
Sliced Carrots in Water,Sliced Carrots in Water,aldi,0.49,0.16,carrots,FOUR SEASONS
British Chantenay Carrots,British Chantenay Carrots,aldi,0.99,0.198,carrots,NATURE'S PICK
Vanilla Flavoured Authentic Greek Yogurt,Vanilla Flavoured Authentic Greek Yogurt,aldi,0.89,0.59,flavoured yoghurt,BROOKLEA
Raspberry Flavoured Authentic Greek Yogurt,Raspberry Flavoured Authentic Greek Yogurt,aldi,0.89,0.59,flavoured yoghurt,BROOKLEA
British Parsnips,British Parsnips,aldi,0.74,0.148,parsnips,NATURE'S PICK
"Organic Apples, Carrots & Parsnips Pouch","Organic Apples, Carrots & Parsnips Pouch",aldi,0.59,0.492,parsnips,MAMIA
Lighter Spreadable Butter Blended with Rapeseed Oil,Lighter Spreadable Butter Blended with Rapeseed Oil,aldi,2.18,0.436,spreadable butter,NORDPAK
Slightly Salted Spreadable Butter Blended with Rapeseed Oil,Slightly Salted Spreadable Butter Blended with Rapeseed Oil,aldi,2.18,0.436,spreadable butter,NORDPAK
Valley Spreadable,Valley Spreadable,aldi,1.99,0.398,spreadable butter,GREENVALE
Lurpak Spreadable,Lurpak Spreadable,aldi,4.39,0.8779999999999999,spreadable butter,LURPAK
Original Spreadable Cheese,Original Spreadable Cheese,aldi,1.19,1.082,spreadable butter,SERIOUSLY
Passionfruit  Skyr Yogurt Pouch,Passionfruit  Skyr Yogurt Pouch,aldi,0.69,0.4599999999999999,skyr yoghurt,BROOKLEA
Raspberry  Skyr Yogurt Pouch,Raspberry  Skyr Yogurt Pouch,aldi,0.69,0.4599999999999999,skyr yoghurt,BROOKLEA
Superberry  Skyr Yogurt Pouch,Superberry  Skyr Yogurt Pouch,aldi,0.69,0.4599999999999999,skyr yoghurt,BROOKLEA
Raisin Brioche Swirls,Raisin Brioche Swirls,aldi,1.89,,brioche,BON APPETIT!
Sliced Brioche Loaf,Sliced Brioche Loaf,aldi,1.69,0.3379999999999999,brioche,BON APPETIT!
Milk Brioche Rolls,Milk Brioche Rolls,aldi,1.65,,brioche,BON APPETIT
Sliced Brioche Burger Buns,Sliced Brioche Burger Buns,aldi,1.09,,brioche,SPECIALLY SELECTED
Seeded Brioche Burger Bun,Seeded Brioche Burger Bun,aldi,1.09,,brioche,SPECIALLY SELECTED
Olive Spread,Olive Spread,aldi,1.29,0.258,olive spread,GREENVALE
Light Olive Spread,Light Olive Spread,aldi,1.29,0.258,olive spread,GREENVALE
Fresh British Double Cream,Fresh British Double Cream,aldi,1.39,0.46,double cream,COWBELLE
Double Elmlea,Double Elmlea,aldi,1.25,0.46,double cream,ELMLEA
Double Concentrate Tomato Purée,Double Concentrate Tomato Purée,aldi,0.59,0.3,double cream,CUCINA
Double Strength Orange Squash,Double Strength Orange Squash,aldi,0.99,0.066,double cream,SUN QUENCH
Double Strength Lemon Squash,Double Strength Lemon Squash,aldi,0.99,0.066,double cream,SUN QUENCH FRUITY BLAST
Broccoli,Broccoli,aldi,1.25,0.417,broccoli,ORGANIC
British Broccoli,British Broccoli,aldi,0.79,0.219,broccoli,NATURE'S PICK
Broccoli Florets,Broccoli Florets,aldi,1.19,0.119,broccoli,FOUR SEASONS
British Tenderstem Broccoli,British Tenderstem Broccoli,aldi,1.49,0.745,broccoli,NATURE'S PICK
British Broccoli & Cauliflower Florets,British Broccoli & Cauliflower Florets,aldi,1.35,0.3379999999999999,broccoli,NATURE'S PICK
Bananas,Bananas,aldi,0.78,,bananas,NATURE'S PICK
Mini Bananas,Mini Bananas,aldi,0.88,,bananas,NATURE'S PICK
Organic Fairtrade Bananas 6 Pack,Organic Fairtrade Bananas 6 Pack,aldi,1.59,,bananas,ORGANIC
Grated Mature Cheddar,Grated Mature Cheddar,aldi,1.99,0.796,mature cheddar,EMPORIUM
Mature Cheddar Cheese,Mature Cheddar Cheese,aldi,2.99,0.8539999999999999,mature cheddar,CATHEDRAL CITY
British Mature Cheddar Cheese,British Mature Cheddar Cheese,aldi,2.49,0.623,mature cheddar,EMPORIUM
Extra Mature Cheddar Cheese,Extra Mature Cheddar Cheese,aldi,2.99,0.8539999999999999,mature cheddar,CATHEDRAL CITY
British Extra Mature Cheddar Cheese,British Extra Mature Cheddar Cheese,aldi,2.49,0.623,mature cheddar,EMPORIUM
Strawberries,Strawberries,aldi,1.99,0.877,strawberries,NATURE'S PICK
Wonky Strawberries,Wonky Strawberries,aldi,1.79,0.7889999999999999,strawberries,EVERYDAY ESSENTIALS
Fresh British Single Cream,Fresh British Single Cream,aldi,1.09,0.36,single cream,COWBELLE
Peppered Steak Single Slices,Peppered Steak Single Slices,aldi,0.99,0.6599999999999999,single cream,CRESTWOOD
Chicken & Bacon Single Slices,Chicken & Bacon Single Slices,aldi,0.99,0.6599999999999999,single cream,CRESTWOOD
Speyside Single Malt Scotch Whisky,Speyside Single Malt Scotch Whisky,aldi,18.49,2.641,single cream,SPECIALLY SELECTED
British Cauliflower,British Cauliflower,aldi,1.19,,cauliflower,NATURE'S PICK
Cauliflower Cheese,Cauliflower Cheese,aldi,1.99,0.265,cauliflower,FOUR SEASONS
Cauliflower Cheese,Cauliflower Cheese,aldi,1.65,0.413,cauliflower,INSPIRED CUISINE
British Broccoli & Cauliflower Florets,British Broccoli & Cauliflower Florets,aldi,1.35,0.3379999999999999,cauliflower,NATURE'S PICK
